全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
131181,131181C00037,荒川区,町屋二丁目児童遊園トイレ,マチヤニチョウメジドウユウエントイレ,,131181,,東京都荒川区町屋2-19-2,東京都,荒川区,町屋2丁目,19-2,,東京さくらトラム（都電荒川線）「町屋二丁目」徒歩1分;東京さくらトラム（都電荒川線）「東尾久三丁目」徒歩4分;東京メトロ千代田線「町屋」徒歩6分,35.745206,139.777163,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00038,荒川区,西日暮里六丁目公園トイレ,ニシニッポリロクチョウメコウエントイレ,,131181,,東京都荒川区西日暮里6-11-2,東京都,荒川区,西日暮里6丁目,11-2,,京成線「新三河島」徒歩3分;日暮里舎人ライナー「西日暮里」徒歩7分;山手線、京浜東北線「西日暮里」徒歩8分,35.736918,139.772125,,,2,2,0,0,0,0,0,1,0,1,0,無,有,無,,,,,,
131181,131181C00039,荒川区,小鳩児童遊園トイレ,コバトジドウユウエントイレ,,131181,,東京都荒川区西日暮里1-17-5,東京都,荒川区,西日暮里1丁目,17-5,,京成線「新三河島」徒歩2分;常磐線「三河島」徒歩8分;東京メトロ千代田線「町屋」徒歩10分,35.736446,139.774971,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00040,荒川区,西日暮里公園トイレ,ニシニッポリコウエントイレ,,131181,,東京都荒川区西日暮里3-5-5,東京都,荒川区,西日暮里3丁目,5-5,,山手線、京浜東北線「西日暮里」徒歩2分;日暮里舎人ライナー「西日暮里」徒歩5分,35.731340,139.766676,,,3,2,0,1,2,0,2,0,0,0,0,無,有,無,,,,,,
131181,131181C00041,荒川区,真土公園トイレ,マツチコウエントイレ,,131181,,東京都荒川区西日暮里1-26-9,東京都,荒川区,西日暮里1丁目,26-9,,常磐線「三河島」徒歩4分;京成線「新三河島」徒歩6分,35.733802,139.775994,,,3,2,0,1,1,0,1,0,0,0,0,無,無,無,,,,,,
131181,131181C00042,荒川区,諏方台公衆トイレ（諏方神社）,スワダイコウシュウトイレ（スワダイジンジャ）,,131181,,東京都荒川区西日暮里3-4-8,東京都,荒川区,西日暮里3丁目,4-8,,山手線、京浜東北線「西日暮里」徒歩3分;東京メトロ千代田線「西日暮里」徒歩3分;日暮里舎人ライナー「西日暮里」下車徒歩5分,35.730864,139.767072,,,3,2,0,1,2,0,2,0,0,0,0,無,有,無,,,,,,
131181,131181C00043,荒川区,西日暮里駅前公衆トイレ,ニシニッポリエキマエコウシュウトイレ,,131181,,東京都荒川区西日暮里5-38-2,東京都,荒川区,西日暮里5丁目,38-2,,山手線、京浜東北線「西日暮里」徒歩1分;日暮里舎人ライナー「西日暮里」徒歩1分;東京メトロ千代田線「西日暮里」徒歩2分,35.732471,139.766697,,,3,2,1,0,2,0,2,0,0,0,0,無,無,無,,,,,,R7.8頃使用開始
131181,131181C00044,荒川区,日暮里公園トイレ,ニッポリコウエントイレ,,131181,,東京都荒川区東日暮里3-11-10,東京都,荒川区,東日暮里3丁目,11-10,,常磐線「三河島」徒歩7分,35.729885,139.781709,,,2,2,0,0,2,0,2,0,0,0,1,有,有,有,,,,,,
131181,131181C00045,荒川区,日暮里駅東口公衆トイレ,ニッポリエキヒガシグチコウシュウトイレ,,131181,,東京都荒川区西日暮里2-19-1,東京都,荒川区,西日暮里2丁目,19-1,,日暮里舎人ライナー「日暮里」徒歩1分;山手線、京浜東北線、常磐線「日暮里」徒歩1分;京成線「日暮里」徒歩1分,35.728073,139.771257,,,6,4,1,1,3,1,2,0,0,0,1,有,有,有,,,,,,
131181,131181C00046,荒川区,日暮里南公園トイレ,ニッポリミナミコウエントイレ,,131181,,東京都荒川区東日暮里5-19-1,東京都,荒川区,東日暮里5丁目,19-1,,日暮里舎人ライナー「日暮里」徒歩8分;山手線、京浜東北線、常磐線「日暮里」徒歩8分,35.726775,139.776867,,,3,2,0,1,2,1,1,0,0,0,1,有,有,有,,,,,,
131181,131181C00047,荒川区,東日暮里一丁目公園トイレ,ヒガシニッポリイッチョウメコウエントイレ,,131181,,東京都荒川区東日暮里1-17-22,東京都,荒川区,東日暮里1丁目,17-22,,東京さくらトラム（都電荒川線）「三ノ輪橋」徒歩4分;東京さくらトラム（都電荒川線）「荒川一中前」徒歩7分,35.730440,139.789251,,,3,2,0,1,2,0,2,0,0,0,1,有,有,有,,,,,,
131181,131181C00048,荒川区,西日暮里一丁目広場トイレ,ニシニッポリイチチョウメヒロバトイレ,,131181,,東京都荒川区西日暮里1-6-20,東京都,荒川区,西日暮里1丁目,6-20,,常磐線「三河島」徒歩3分,35.733481,139.776158,,,2,1,0,1,1,0,1,0,0,0,1,有,有,有,,,,,,
131181,131181C00049,荒川区,日暮里駅西口公衆トイレ,ニッポリエキニシグチコウシュウトイレ,,131181,,東京都荒川区西日暮里2-19-11,東京都,荒川区,西日暮里2丁目,19-11,,山手線、京浜東北線、常磐線「日暮里」徒歩1分;日暮里舎人ライナー「日暮里」徒歩2分,35.728268,139.770892,,,1,1,0,0,1,0,1,0,0,0,1,有,有,有,,,,,,
131181,131181C00051,荒川区,南千住浄水場遊戯広場トイレ,ミナミセンジュジョウスイジョウユウギヒロバトイレ,,131181,,東京都荒川区南千住6-39-15,東京都,荒川区,南千住6丁目,39-15,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩13分,35.739203,139.794239,,,0,0,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00052,荒川区,瑞光公園トイレ,ズイコウコウエントイレ,,131181,,東京都荒川区南千住1-26-10,東京都,荒川区,南千住1丁目,26-10,,東京さくらトラム（都電荒川線）「荒川一中前」 徒歩3分,35.733594,139.790616,,,2,1,0,1,1,0,1,0,0,0,1,有,有,有,,,,,,R7.6頃使用開始
131181,131181C00053,荒川区,若葉児童遊園トイレ,ワカバジドウユウエントイレ,,131181,,東京都荒川区南千住5-12-3,東京都,荒川区,南千住5丁目,12-3,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩6分,35.734642,139.795006,,,0,0,0,0,0,0,0,1,0,1,1,有,有,無,,,,,,
131181,131181C00054,荒川区,素盞雄神社境内公衆トイレ,スサノオジンジャケイダイコウシュウトイレ,,131181,,東京都荒川区南千住6-60-1,東京都,荒川区,南千住6丁目,60-1,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩9分,35.737158,139.796080,,,1,1,0,0,0,0,0,1,0,1,0,無,有,無,,,,,,
131181,131181C00055,荒川区,南千住駅ガ－ド下公衆トイレ,ミナミセンジュエキガードシタコウシュウトイレ,,131181,,東京都荒川区南千住2-34-1,東京都,荒川区,南千住2丁目,34-1,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩1分,35.731259,139.797138,,,4,3,0,1,2,0,2,0,0,0,0,無,無,無,,,,,,R7.8頃使用開始
131181,131181C00056,荒川区,リバーハープ公園トイレ,リバーハープコウエントイレ,,131181,,東京都荒川区南千住4-9-5,東京都,荒川区,南千住4丁目,9-5,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩11分,35.736365,139.803872,,,3,2,0,1,2,1,1,0,0,0,0,有,無,無,,,,,,
131181,131181C00057,荒川区,南千住一丁目公衆トイレ（三ノ輪橋停留場前）,ミナミセンジュイッチョウメコウシュウトイレ（ミノワバシテイリュウジョウマエ）,,131181,,東京都荒川区南千住1-16-7,東京都,荒川区,南千住1丁目,16-7,,東京さくらトラム（都電荒川線）「三ノ輪橋」 徒歩1分,35.732127,139.791792,,,2,2,0,0,1,0,1,0,0,0,2,有,有,有,,,,,,
131181,131181C00058,荒川区,地蔵堀児童遊園トイレ,ジゾウボリジドウユウエントイレ,,131181,,東京都荒川区南千住6-11-1,東京都,荒川区,南千住6丁目,11-1,,東京さくらトラム（都電荒川線）「荒川二丁目」 徒歩10分,35.739127,139.790001,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00059,荒川区,南千住第四児童遊園トイレ,ミナミセンジュダイヨンジドウユウエントイレ,,131181,,東京都荒川区南千住1-56-16,東京都,荒川区,南千住1丁目,56-16,,東京さくらトラム（都電荒川線）「三ノ輪橋」 徒歩5分,35.733481,139.792823,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00060,荒川区,ドナウ広場公衆トイレ,ドナウヒロバコウシュウトイレ,,131181,,東京都荒川区南千住4-1-2,東京都,荒川区,南千住4丁目,1-2,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩2分,35.732656,139.799626,,,4,3,0,1,2,2,0,0,0,0,1,有,有,無,,,,,,
131181,131181C00061,荒川区,天王公園トイレ,テンノウコウエントイレ,,131181,,東京都荒川区南千住6-67-21,東京都,荒川区,南千住6丁目,67-21,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩10分,35.738310,139.795256,,,5,3,0,2,2,0,2,0,0,0,1,有,有,有,,,,,,
131181,131181C00062,荒川区,瑞光橋公園トイレ,ズイコウバシコウエントイレ,,131181,,東京都荒川区南千住8-18-1,東京都,荒川区,南千住8丁目,18-1,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩20分,35.733904,139.808414,,,3,2,1,0,2,1,1,0,0,0,1,有,有,無,,,,,,
131181,131181C00063,荒川区,南千住三丁目公園トイレ,ミナミセンジュサンチョウメコウエントイレ,,131181,,東京都荒川区南千住3-28-67,東京都,荒川区,南千住3丁目,28-67,,JR、つくばエクスプレス、東京メトロ日比谷線「南千住」 徒歩20分,35.729790,139.806982,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00064,荒川区,西尾久五丁目児童遊園トイレ,ニシオグゴチョウメジドウユウエントイレ,,131181,,東京都荒川区西尾久5-5-11,東京都,荒川区,西尾久5丁目,5-11,,東京さくらトラム（都電荒川線）「小台」 徒歩2分,35.749415,139.760852,,,2,2,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
131181,131181C00065,荒川区,東尾久三丁目北児童遊園トイレ,ヒガシオグサンチョウメキタジドウユウエントイレ,,131181,,東京都荒川区東尾久3-18-4,東京都,荒川区,東尾久3丁目,18-4,,日暮里舎人ライナー、東京さくらトラム（都電荒川線）「熊野前」 徒歩3分,35.746901,139.771604,,,2,2,0,0,0,0,0,1,0,1,0,無,有,無,,,,,,
131181,131181C00066,荒川区,西尾久四丁目公園トイレ,ニシオグヨンチョウメコウエントイレ,,131181,,東京都荒川区西尾久4-6-3,東京都,荒川区,西尾久4丁目,6-3,,JR「尾久」 徒歩15分,35.744239,139.761060,,,2,1,0,1,1,0,1,0,0,0,1,有,有,有,,,,,,R7.6頃使用開始
